rank,name,location,year,USnewsRate,peer,superRate,gre_verbal,gre_quant,doc_accept,sf_ratio,phd_fac_ratio,total_research,avg_research,enroll,tuition,tuition_out_state,tuition_unit
17,University of Southern California,"Los Angeles, CA",2014,75,3.9,4.2,161,154,16.4,7.6,5.6,19,704.1,1993,1473,,credit
19,Boston College (Lynch,"Chestnut Hill, MA",2014,72,3.7,4.3,160,156,6,3.4,1,13.3,238.2,861,1166,,credit
19,Indiana University-Bloomington ,"Bloomington, IN",2014,72,3.9,4.3,156,151,31.6,3.4,0.8,24,244.9,919,397,1155,credit
19,University of Illinois-Urbana-Champaign ,"Champaign, IL",2014,72,4.1,4.2,156,157,38.1,3.9,0.9,14,177,936,11432,24698,year
22,University of Kansas ,"Lawrence, KS",2014,71,3.8,4,152,150,67.9,4,0.8,36.8,471.9,962,330,772,credit
22,University of Virginia,"Charlottesville, VA",2014,71,4.1,4.3,157,154,22.2,3.1,0.7,14.7,209.7,949,13278,22602,year
24,Arizona State University ,"Phoenix, AZ",2014,69,3.6,3.6,160,149,28.6,2.8,1.3,31.7,348,2462,10002,24550,year
24,Utah State University ,"Logan, UT",2014,69,3,3.3,155,156,24.9,1,0.3,42.8,321.9,1010,4294,15030,year
26,University of Minnesota-Twin Cities ,"Minneapolis, MN",2014,68,3.8,3.9,156,151,41.4,5.2,0.9,33,259.6,1880,14570,22320,year
27,University of Maryland-College Park ,"College Park, MD",2014,65,3.9,4.1,157,152,23.1,4.1,1.1,12.6,126.8,986,551,1188,credit
28,Pennsylvania State University-University Park ,"University Park, PA",2014,63,3.8,4.1,157,151,41.5,4,0.8,16.1,136.8,1138,17670,30374,year
28,University of Colorado-Boulder ,"Boulder, CO",2014,63,3.7,3.9,159,151,16.3,2.6,0.4,6.4,211.8,354,9738,26208,year
28,University of Connecticut (Neag),"Storrs, CT",2014,63,3.7,4.2,156,153,39.3,3.2,0.8,13.4,216.1,796,10782,27990,year
28,Virginia Commonwealth University ,"Richmond, VA",2014,63,3.1,3.7,158,150,40.5,1.4,0.5,17.2,358.3,1075,9530,19594,year
32,College of William and Mary ,"Williamsburg, VA",2014,61,3.4,4.5,157,155,48.2,2.3,0.6,7,183.6,398,6779,20608,year
32,Purdue University-West Lafayette ,"West Lafayette, IN",2014,61,3.5,4,151,150,42,2.4,0.6,12.7,191.7,523,9208,28010,year
32,University of Illinois-Chicago ,"Chicago, IL",2014,61,3.5,4.3,153,148,56.4,3.1,0.6,13.8,306.6,691,10882,22880,year
32,University of Iowa ,"Iowa City, IA",2014,61,3.6,4,155,150,48.8,4.5,0.9,14.7,186.5,693,9310,25562,year
32,University of Pittsburgh ,"Pittsburgh, PA",2014,61,3.6,3.8,149,144,46.9,4.5,0.8,22.2,397,1047,19336,31658,year
37,University of California-Irvine ,"Irvine, CA",2014,60,3.3,3.8,162,156,13,3.5,0.7,4.2,198.9,229,11220,26322,year
37,University of Delaware ,"Newark, DE",2014,60,3.2,3.6,160,156,41.9,3.3,0.9,16.5,459.2,363,27240,27240,year
37,University of North Carolina-Chapel Hill ,"Chapel Hill, NC",2014,60,3.9,4.2,156,149,45.7,4.8,0.6,7.6,179.8,522,8834,24924,year
40,Syracuse University ,"Syracuse, NY",2014,59,3.4,4.3,157,153,44.1,2.6,0.4,8.6,143.6,678,1249,,credit
40,University of California-Santa Barbara (Gevirtz),"Santa Barbara, CA",2014,59,3.4,4.5,154,151,14.7,6.3,1.3,3.5,97.5,344,12957,28059,year
40,University of Florida ,"Gainesville, FL",2014,59,3.6,4,155,147,41.2,6.6,1,17.9,251.5,1268,449,1249,credit
43,University of Georgia ,"Athens, GA",2014,58,3.9,4.1,153,148,34,3.4,0.9,13.5,73.7,1857,7400,22400,year
